Brand,Model,Case Material,Strap Material,Movement Type,Dial Color,Crystal Material,Complications,Price (USD),Price Category,Water Resistance (m)
Zenith,Elite,0,2,0,3,0,,4500,0,50
Panerai,Luminor Base,0,2,1,0,0,,5800,1,100
Audemars Piguet,Royal Oak,0,0,0,3,0,Date,21000,2,50
IWC,Pilot's Watch,0,2,0,0,0,Date,3800,0,60
Tudor,Black Bay,0,2,0,0,0,Date,3900,0,200
Longines,Conquest VHP,0,0,3,0,0,"Chronograph, Date",1500,0,50
Sinn,U1,0,1,0,0,0,,2500,0,1000
Vacheron Constantin,Overseas,0,0,0,1,0,"Date, Power Reserve",21000,2,150
A. Lange & Söhne,Saxonia,5,2,1,3,0,,23000,2,30
Breguet,Classique,6,2,1,3,0,Power Reserve,23000,2,30
IWC,Portugieser,0,2,0,1,0,,8500,2,30
Blancpain,Fifty Fathoms,0,6,0,0,0,Date,14000,2,300
Hublot,Big Bang,1,1,0,1,0,Chronograph,16000,2,100
Panerai,Luminor Marina,0,2,0,0,0,,8500,2,300
Zenith,El Primero,0,2,0,3,0,Chronograph,6000,1,100
Piaget,Altiplano,5,2,1,3,0,,16500,2,30
Seiko,Prospex,0,7,0,1,0,Day/Date,1200,0,200
Panerai,Luminor Due,0,2,0,0,0,,6500,1,30
IWC,Portugieser,0,2,0,1,0,"Chronograph, Moon Phase",9800,2,30
Blancpain,Fifty Fathoms,1,1,0,0,0,,16800,2,300
Audemars Piguet,Royal Oak,0,0,0,0,0,Date,19800,2,50
Breguet,Classique,4,2,0,2,0,,19000,2,30
Vacheron Constantin,Patrimony,2,2,1,3,0,,18500,2,30
Chopard,Mille Miglia,0,2,0,0,0,Chronograph,5800,1,50
Longines,Conquest,0,0,0,0,0,Chronograph,2200,0,300
Montblanc,1858,0,2,1,0,0,,3500,0,30
Rolex,GMT-Master II,0,0,0,0,0,"GMT, Date",9950,2,100
Omega,Speedmaster,0,0,0,0,2,Chronograph,4950,0,50
Audemars Piguet,Royal Oak,0,0,0,1,0,Date,22000,2,50
IWC,Portugieser,0,2,0,3,0,,7500,1,30
Jaeger-LeCoultre,Master Ultra Thin,0,2,0,3,0,Date,8900,2,50
Blancpain,Fifty Fathoms,0,6,0,0,0,Date,13900,2,300
Breguet,Classique,6,2,1,3,0,,20500,2,30
Ulysse Nardin,Marine,1,1,0,1,0,Date,9500,2,300
Hublot,Big Bang,3,1,0,0,0,Chronograph,16000,2,100
Zenith,El Primero,0,2,0,2,0,Chronograph,5500,1,100
Rolex,Datejust,0,0,0,0,0,Date,8200,2,100
Omega,Speedmaster Moonwatch,0,0,1,0,2,"Chronograph, Tachymeter",5500,1,50
Breitling,Superocean,0,1,0,1,0,Date,3600,0,500
Hublot,Big Bang,1,1,0,0,0,"Chronograph, Date",8900,2,100
Blancpain,Fifty Fathoms,0,5,0,0,0,"Date, Rotating Bezel",13500,2,300
Audemars Piguet,Royal Oak,0,0,0,1,0,Date,26000,2,50
Zenith,El Primero,0,2,0,0,0,Chronograph,6500,1,100
IWC,Portugieser,0,2,0,3,0,,7800,1,30
Jaeger-LeCoultre,Master Ultra Thin,0,2,0,3,0,,4500,0,50
Patek Philippe,Nautilus,0,0,0,1,0,Date,29800,2,120
Audemars Piguet,Royal Oak,0,0,0,0,0,Date,23100,2,50
Vacheron Constantin,Overseas,0,1,0,1,0,Date,18900,2,150
Blancpain,Fifty Fathoms,0,5,0,0,0,Date,12800,2,300
Hublot,Big Bang,3,1,0,0,0,Chronograph,17900,2,100
Breguet,Classique,4,2,1,3,0,,15200,2,30
Ulysse Nardin,Marine,0,2,0,1,0,Date,8400,2,100
Zenith,Defy,1,1,0,1,0,Chronograph,9500,2,100
Girard-Perregaux,Laureato,0,0,0,3,0,,9200,2,100
Panerai,Luminor,0,2,1,0,0,,7500,1,100
Seiko,Prospex,0,7,0,1,3,Date,1300,0,200
Tissot,Le Locle,0,2,0,3,0,Date,650,0,30
Longines,Master Collection,0,2,0,0,0,Date,2500,0,30
Hamilton,Jazzmaster,0,2,0,3,0,Date,1150,0,50
Montblanc,Heritage,0,2,0,3,0,Date,2750,0,50
Rado,True Thinline,7,2,3,0,0,,1600,0,30
Frederique Constant,Classics,0,2,0,3,0,Date,1400,0,50
Zenith,Elite,0,2,0,2,0,Date,5500,1,50
Girard-Perregaux,Laureato,0,0,0,0,0,Date,8700,2,100
Ulysse Nardin,Marine Torpilleur,0,2,0,1,0,Date,7900,1,50
Sinn,U50,8,7,0,0,0,,3350,0,500
Omega,Speedmaster,0,0,0,0,0,Chronograph,6500,1,50
TAG Heuer,Aquaracer,0,0,3,1,0,,1800,0,300
Breitling,Superocean,0,1,0,1,0,Date,3600,0,2000
IWC,Portugieser,0,2,0,1,0,Date,8900,2,30
Panerai,Luminor Marina,1,2,1,0,0,,5700,1,300
Patek Philippe,Nautilus,0,0,0,1,0,Date,34000,2,120
Jaeger-LeCoultre,Master Ultra Thin,0,2,0,3,0,,6800,1,50
Bell & Ross,BR V2-92,0,1,0,0,0,Date,2500,0,100
Montblanc,1858,9,2,0,0,0,,5300,0,100
Audemars Piguet,Royal Oak,0,0,0,0,0,Date,22000,2,50
Vacheron Constantin,Overseas,0,1,0,1,0,Date,17500,2,150
IWC,Portugieser,0,2,0,3,0,Date,8500,2,30
Hublot,Big Bang,3,1,0,0,0,Chronograph,15000,2,100
Zenith,El Primero,0,2,0,2,0,Chronograph,6000,1,100
Chopard,Mille Miglia,0,2,0,0,0,Chronograph,5000,0,50
Panerai,Luminor,1,1,0,0,0,,8500,2,300
Girard-Perregaux,Laureato,0,0,0,1,0,Date,9000,2,100
Blancpain,Fifty Fathoms,0,8,0,0,0,,12500,2,300
Bulgari,Octo Finissimo,1,2,0,0,0,,10000,2,30
Tudor,Black Bay,0,2,0,0,0,Date,3800,0,200
Panerai,Luminor Marina,0,2,0,0,0,Date,8900,2,300
Hublot,Big Bang,1,1,0,0,0,Chronograph,16800,2,100
IWC,Portugieser,0,2,0,3,0,Date,6900,1,30
Vacheron Constantin,Overseas,0,1,0,3,0,Date,19500,2,150
Breguet,Classique,2,2,0,3,0,Date,24500,2,30
Piaget,Altiplano,4,2,1,2,0,,20800,2,30
Blancpain,Fifty Fathoms,0,6,0,0,0,Date,13000,2,300
Girard-Perregaux,Laureato,0,0,0,0,0,Date,9700,2,100
Zenith,Chronomaster,0,2,0,3,0,Chronograph,7400,1,50
Breitling,Superocean Heritage II,0,1,0,0,0,Date,4300,0,200
Cartier,Santos de Cartier,0,0,0,3,0,Date,6500,1,100
Omega,Speedmaster,0,2,1,0,2,Chronograph,5500,1,50
Rolex,GMT-Master II,0,0,0,0,0,"GMT, Date",9100,2,100
Jaeger-LeCoultre,Master Control,0,2,0,3,0,Date,7500,1,50
Audemars Piguet,Royal Oak,0,0,0,1,0,Date,20900,2,50
IWC,Pilot's Watch Mark XVIII,0,2,0,0,0,Date,4200,0,60
Patek Philippe,Calatrava,2,2,0,3,0,Date,22000,2,30
Tudor,Black Bay,0,2,0,0,0,Date,3600,0,200
Omega,Speedmaster,0,0,0,0,0,Chronograph,6800,1,50
TAG Heuer,Aquaracer,0,0,3,1,0,Date,2600,0,300
Breitling,Superocean Heritage,0,2,0,0,0,Date,4400,0,200
Jaeger-LeCoultre,Master Control,0,2,0,3,0,Date,7500,1,50
Tudor,Black Bay GMT,0,0,0,0,0,GMT,4500,0,200
Zenith,El Primero,0,2,0,2,0,Chronograph,6900,1,100
Longines,HydroConquest,0,0,0,0,0,Date,1800,0,300
Oris,Divers Sixty-Five,0,2,0,1,0,Date,1500,0,100
Hamilton,Khaki Field,0,8,0,0,0,,595,0,100
Panerai,Luminor Marina,0,2,0,0,0,Date,7500,1,300
IWC,Pilot's Watch,0,2,0,0,0,Date,5400,0,60
Patek Philippe,Calatrava,5,2,1,2,0,,25000,2,30
Hublot,Big Bang,10,1,0,0,0,Chronograph,15000,2,100
Zenith,Chronomaster,0,2,0,3,0,Chronograph,7500,1,50
Audemars Piguet,Royal Oak,0,0,0,1,0,Date,25000,2,50
Vacheron Constantin,Overseas,0,0,0,1,0,Date,18000,2,50
Breguet,Classique,5,2,0,3,0,,20000,2,30
Ulysse Nardin,Marine,0,1,0,1,0,Date,8500,2,100
Blancpain,Fifty Fathoms,0,5,0,0,0,,10500,2,300
Girard-Perregaux,Laureato,0,0,0,0,0,Date,9000,2,100
Blancpain,Fifty Fathoms,1,6,0,0,0,Date,14500,2,300
Vacheron Constantin,Overseas,0,0,0,3,0,Date,21500,2,150
Zenith,El Primero,0,2,0,0,0,Chronograph,7500,1,100
Hublot,Big Bang,1,1,0,0,0,Chronograph,15000,2,100
Breguet,Classique,4,2,0,3,0,,18000,2,30
Girard-Perregaux,Laureato,0,0,0,1,0,Date,11500,2,100
Panerai,Luminor Marina,0,2,0,0,0,Date,8000,1,300
Tudor,Black Bay,0,2,0,0,0,,3800,0,200
Panerai,Luminor,0,2,1,0,0,,6400,1,100
IWC,Portugieser,0,2,0,3,0,Date,8900,2,30
Audemars Piguet,Royal Oak,0,0,0,1,0,Date,20400,2,50
Vacheron Constantin,Overseas,0,1,0,1,0,Date,22000,2,150
Blancpain,Fifty Fathoms,0,5,0,0,0,Date,14900,2,300
Chopard,Mille Miglia,0,2,0,3,0,Chronograph,5900,1,50
Longines,Master Collection,0,2,0,3,0,Date,1500,0,30
Montblanc,Heritage,0,2,0,0,0,Date,2700,0,50
Zenith,El Primero,0,2,0,0,0,Chronograph,6500,1,100
Rolex,Datejust,0,0,0,1,0,Date,7800,1,100
Omega,Speedmaster,0,0,0,0,0,"Chronograph, Date",5300,0,50
TAG Heuer,Monaco,0,2,0,1,0,Chronograph,5900,1,100
Breitling,Superocean,0,1,0,1,0,Date,3800,0,1000
Cartier,Ballon Bleu,0,0,0,3,0,Date,7500,1,30
Jaeger-LeCoultre,Master Ultra Thin,0,2,0,2,0,Date,6200,1,50
Rolex,GMT-Master II,0,0,0,0,0,"GMT, Date",9500,2,100
Omega,Aqua Terra,0,0,0,3,0,Date,4700,0,150
TAG Heuer,Aquaracer,0,0,0,0,0,Date,2700,0,300
Breitling,Avenger II,0,1,0,0,0,"Chronograph, Date",4600,0,300
Omega,Speedmaster,0,0,1,0,0,Chronograph,5400,0,50
TAG Heuer,Monaco,0,2,0,1,0,Chronograph,6550,1,100
Cartier,Santos-Dumont,0,2,3,3,0,,5300,0,30
Breitling,Superocean,0,1,0,1,0,Date,3850,0,1000
Patek Philippe,Calatrava,5,2,0,3,0,,25800,2,30
Tudor,Black Bay,0,6,0,0,0,Date,4100,0,200
Blancpain,Fifty Fathoms,0,1,0,0,0,Date,12900,2,300
IWC,Portugieser,0,2,0,1,0,,6900,1,30
Vacheron Constantin,Overseas,0,1,0,1,0,Date,19800,2,150
Omega,Speedmaster Moonwatch,0,0,1,0,2,Chronograph,5400,0,50
Hublot,Classic Fusion,11,1,0,1,0,,20200,2,50
Audemars Piguet,Royal Oak,0,0,0,1,0,Date,24800,2,50
IWC,Pilot's Watch,0,2,0,0,0,Date,4800,0,60
Tudor,Black Bay GMT,0,0,0,0,0,GMT,4000,0,200
Breguet,Classique,2,2,1,2,0,,22500,2,30
Blancpain,Fifty Fathoms,0,1,0,0,0,Date,12500,2,300
Chopard,Mille Miglia,0,2,0,0,0,Chronograph,6900,1,50
Panerai,Luminor,1,2,0,0,0,,7500,1,100
Audemars Piguet,Royal Oak,0,0,0,1,0,"Date, Stopwatch",25000,2,50
IWC,Pilot's Watch,0,2,0,0,0,"Date, Stopwatch",5500,1,60
Blancpain,Fifty Fathoms,1,6,0,0,0,Date,12000,2,300
Ulysse Nardin,Marine,0,1,0,1,0,"Date, Power Reserve",7500,1,100
Breguet,Classique,6,2,0,3,0,,20000,2,30
Girard-Perregaux,Laureato,0,0,0,0,0,,8500,2,100
Hublot,Big Bang,3,1,0,0,0,"Date, Chronograph",12000,2,100
Zenith,Chronomaster,0,2,0,3,0,"Date, Chronograph",6000,1,100
Vacheron Constantin,Overseas,0,1,0,1,0,Date,12000,2,150
Audemars Piguet,Royal Oak,0,0,0,0,0,Date,22000,2,50
Hublot,Classic Fusion,1,1,0,1,0,Date,8500,2,50
Panerai,Luminor Marina,0,2,1,0,0,,7200,1,300
Breguet,Classique,2,2,1,3,0,,16000,2,30
Ulysse Nardin,Marine,0,1,0,1,0,Date,8900,2,100
IWC,Portugieser Chronograph,0,2,0,2,0,Chronograph,7600,1,30
Montblanc,1858 Geosphere,1,2,0,0,0,GMT,6500,1,100
Vacheron Constantin,Overseas,0,0,0,1,0,Date,21000,2,150
Zenith,Chronomaster El Primero,0,2,0,3,0,Chronograph,6000,1,100
Rolex,Daytona,12,2,0,4,0,Chronograph,29500,2,100
IWC,Portuguese,0,2,0,2,0,Date,8800,2,30
Blancpain,Fifty Fathoms,0,1,0,0,0,Date,13500,2,300
Hublot,Big Bang,10,1,0,0,0,Chronograph,19500,2,100
Ulysse Nardin,Marine,0,1,0,1,0,Date,7000,1,100
Breguet,Classique,2,2,1,3,0,,23000,2,30
Girard-Perregaux,Laureato,0,0,0,0,0,Date,9500,2,100
Piaget,Altiplano,2,2,1,3,0,,18500,2,30
Vacheron Constantin,Patrimony,4,2,1,3,0,,22500,2,30
Panerai,Luminor Marina,0,2,0,0,0,"Date, GMT",7500,1,300
IWC,Portugieser,0,2,0,1,0,Date,6500,1,30
Audemars Piguet,Royal Oak,0,0,0,1,0,Date,20000,2,50
Hublot,Big Bang,10,1,0,0,0,Chronograph,12000,2,100
Girard-Perregaux,Laureato,0,0,0,1,0,Date,6500,1,100
Chopard,Mille Miglia,0,2,0,0,0,Chronograph,6200,1,50
Vacheron Constantin,Overseas,0,0,0,1,0,Date,15000,2,150
Piaget,Altiplano,5,2,1,3,0,,22000,2,30
Zenith,El Primero,0,2,0,0,0,Chronograph,5500,1,100
Breguet,Classique,5,2,0,3,0,,19000,2,30
Tudor,Black Bay,0,2,0,0,0,,3500,0,200
Omega,Speedmaster,0,0,0,0,2,Chronograph,5000,0,50
Cartier,Santos,0,0,0,3,0,Date,6200,1,100
TAG Heuer,Aquaracer,0,0,0,0,0,Date,3100,0,300
Breitling,Superocean,0,1,0,1,0,Date,4100,0,1000
Panerai,Luminor Marina,0,2,0,0,0,,6500,1,300
Zenith,Elite Classic,0,2,0,3,0,Date,4900,0,50
Longines,Conquest Classic,0,2,0,3,0,Date,1850,0,50
Montblanc,Star Legacy,0,2,0,2,0,"Date, Moonphase",3900,0,50
Baume & Mercier,Clifton Baumatic,0,2,0,3,0,Date,2750,0,50
Rolex,Datejust,0,9,0,1,0,Date,9500,2,100
Omega,Speedmaster Moonwatch,0,0,1,0,2,"Chronograph, Tachymeter",5350,0,50
Breitling,Superocean Heritage,0,0,0,1,0,Date,3250,0,200
TAG Heuer,Monaco,0,2,0,1,0,Chronograph,4950,0,100
Jaeger-LeCoultre,Master Control,0,2,0,3,0,"Date, Moonphase",6500,1,50
Panerai,Luminor,1,1,1,0,0,,8500,2,300
Audemars Piguet,Royal Oak,0,0,0,1,0,Date,27000,2,50
IWC,Portugieser,0,2,0,3,0,Chronograph,7250,1,30
Patek Philippe,Calatrava,2,2,1,2,0,,25000,2,30
Bell & Ross,BR 03-92,3,1,0,0,0,,3800,0,100
Omega,Speedmaster,0,0,1,0,2,"Chronograph, Tachymeter",4500,0,50
Audemars Piguet,Royal Oak,0,0,0,1,0,Date,28500,2,50
IWC,Pilot's Watch Mark,0,2,0,0,0,"Date, Chronograph",6800,1,60
Hublot,Big Bang,3,1,0,0,0,Chronograph,16000,2,100
Breguet,Classique,2,2,0,3,0,,19000,2,30
Blancpain,Fifty Fathoms,0,1,0,0,0,Date,13500,2,300
Girard-Perregaux,Laureato,0,0,0,0,0,Date,8000,1,100
Jaquet Droz,Grande Seconde,0,2,0,3,0,,10000,2,30
Rolex,GMT-Master II,0,0,0,0,0,"Date, GMT",9700,2,100
Patek Philippe,Nautilus,0,0,0,1,0,Date,29800,2,120
Omega,Speedmaster,0,0,1,0,2,Chronograph,5350,0,50
Audemars Piguet,Royal Oak,0,0,0,1,0,Date,18500,2,50
IWC,Pilot's Watch,0,2,0,0,0,Date,4950,0,60
Zenith,El Primero,0,2,0,2,0,"Chronograph, Date",7900,1,100
Hublot,Big Bang,1,1,0,0,0,"Chronograph, Date",16000,2,100
Girard-Perregaux,Laureato,0,0,0,1,0,Date,12800,2,100
Jaeger-LeCoultre,Master Control,0,2,0,3,0,"Date, Power Reserve Indicator",8500,2,50
IWC,Portugieser,0,2,0,1,0,"Date, Power Reserve Indicator",8500,2,30
Panerai,Luminor,1,1,0,0,0,"Date, Sub Seconds",7500,1,300
Audemars Piguet,Royal Oak,0,0,0,1,0,Date,19500,2,50
Hublot,Big Bang,1,1,0,0,0,"Date, Chronograph",13000,2,100
Zenith,El Primero,0,2,0,2,0,"Date, Chronograph, Moon Phase",7500,1,100
Vacheron Constantin,Overseas,0,0,0,1,0,"Date, World Time",23000,2,150
Breguet,Classique,2,2,1,3,0,,24000,2,30
Blancpain,Fifty Fathoms,0,6,0,0,0,"Date, Power Reserve Indicator",11000,2,300
Chopard,Mille Miglia,0,2,0,0,0,"Date, Chronograph",6000,1,50
Omega,Speedmaster,0,0,0,0,0,"Chronograph, Tachymeter",6500,1,50
TAG Heuer,Aquaracer,0,0,0,1,0,Date,3700,0,300
Breitling,Superocean,0,1,0,0,0,Date,4500,0,200
Jaeger-LeCoultre,Master Control,0,2,0,3,0,"Date, Power Reserve",6000,1,50
Rolex,GMT-Master II,0,0,0,0,0,Dual Time Zone,9500,2,100
Omega,Constellation,0,0,0,0,0,Date,4800,0,100
TAG Heuer,Monaco,0,2,0,1,0,Chronograph,5200,0,100
Breitling,Chronomat,0,0,0,1,0,"Chronograph, Date",6900,1,200
Rolex,Datejust,0,0,0,2,0,Date,8000,1,100
Audemars Piguet,Royal Oak,0,0,0,1,0,Date,18000,2,50
IWC,Portugieser,0,2,0,2,0,Date,7500,1,30
Hublot,Big Bang,1,1,0,0,0,Chronograph,14000,2,100
Blancpain,Fifty Fathoms,0,5,0,0,0,Date,14000,2,300
Breguet,Classique,6,2,1,3,0,,25000,2,30
Jaeger-LeCoultre,Master Ultra Thin,0,2,0,3,0,,6500,1,50
Zenith,El Primero,0,0,0,1,0,Chronograph,7000,1,100
Bulgari,Octo Finissimo,1,10,0,0,0,,10000,2,30
Rolex,GMT-Master II,0,0,0,0,0,"GMT, Date",9450,2,100
Patek Philippe,Nautilus,0,0,0,1,0,Date,29800,2,120
Audemars Piguet,Royal Oak,0,0,0,1,0,"Date, Chronograph",22300,2,50
Hublot,Classic Fusion,1,1,0,0,0,Date,8100,1,50
IWC,Pilot's Watch Mark XVIII,0,2,0,0,0,Date,3900,0,60
A. Lange & Söhne,Saxonia,6,2,1,3,0,,23300,2,30
Breguet,Classique,6,2,0,3,0,Date,23200,2,30
Chopard,Mille Miglia,0,2,0,0,0,"Date, Chronograph, Tachymeter",6300,1,50
Zenith,El Primero,0,2,0,2,0,"Date, Chronograph",5600,1,100
Panerai,Luminor,1,2,1,0,0,,6900,1,100
Rolex,Daytona,0,0,0,2,0,Chronograph,13500,2,100
Omega,Speedmaster,0,0,1,0,2,Chronograph,4500,0,50
Cartier,Santos,0,2,0,3,0,Date,6600,1,100
TAG Heuer,Aquaracer,0,0,0,1,0,Date,2800,0,300
Jaeger-LeCoultre,Master Ultra Thin,0,2,0,3,0,,6300,1,50
Patek Philippe,Calatrava,4,2,1,2,0,,22900,2,30
Audemars Piguet,Royal Oak,0,0,0,0,0,Date,22500,2,50
Zenith,El Primero,0,0,0,1,0,Chronograph,6900,1,100
Vacheron Constantin,Overseas,0,0,0,0,0,"Date, World Time",20200,2,150
IWC,Portugieser,0,2,0,3,0,,7600,1,30
Panerai,Luminor Marina,0,2,0,0,0,Date,6500,1,300
Patek Philippe,Nautilus,0,0,0,1,0,Date,34000,2,120
IWC,Portugieser,0,2,0,2,0,Date,9500,2,30
Hublot,Big Bang,3,1,0,0,0,Chronograph,14000,2,100
Breguet,Classique,4,2,1,3,0,,26000,2,30
Zenith,El Primero,0,2,0,3,0,Chronograph,7000,1,100
Blancpain,Fifty Fathoms,0,11,0,0,0,,10000,2,300
Girard-Perregaux,Laureato,0,0,0,1,0,Date,11500,2,100
Ulysse Nardin,Marine,0,2,0,1,0,Date,7500,1,100
Vacheron Constantin,Overseas,0,0,0,3,0,Date,20000,2,150
Patek Philippe,Nautilus,0,0,0,1,0,Date,26000,2,120
Audemars Piguet,Royal Oak,0,0,0,5,0,Date,17000,2,50
IWC,Portugieser,0,2,0,2,0,Chronograph,7800,1,30
A. Lange & Söhne,Saxonia,4,2,1,3,0,,17500,2,30
Vacheron Constantin,Overseas,0,1,0,1,0,Date,20000,2,150
Girard-Perregaux,Laureato,0,0,0,0,0,Chronograph,12000,2,100
Zenith,El Primero,0,2,0,3,0,Chronograph,7500,1,100
Blancpain,Fifty Fathoms,0,1,0,0,0,Date,14000,2,300
Hublot,Classic Fusion,1,1,0,1,0,,9500,2,50
Breguet,Classique,2,2,1,3,0,,22000,2,30
Piaget,Polo,0,0,0,1,0,Date,10500,2,100
Patek Philippe,Nautilus,0,0,0,1,0,Date,29000,2,120
Hublot,Classic Fusion,1,1,0,1,0,,7500,1,50
Breguet,Classique,6,2,0,3,0,,25000,2,30
IWC,Pilot's Watch,0,2,0,0,0,Date,5900,1,60
Blancpain,Fifty Fathoms,0,8,0,0,0,Date,12000,2,300
Zenith,El Primero,0,2,0,3,0,Chronograph,6200,1,100
Chopard,Mille Miglia,0,1,0,0,0,Chronograph,6800,1,50
Vacheron Constantin,Patrimony,5,2,1,3,0,,28000,2,30
Panerai,Luminor,1,2,0,0,0,,9500,2,300
Tudor,Black Bay,0,8,0,0,0,,3500,0,200
Panerai,Luminor Marina,0,2,0,0,0,Date,7200,1,300
