Brand,Model,Case Material,Strap Material,Movement Type,Dial Color,Crystal Material,Complications,Price (USD),Price Category,Water Resistance (m)
Piaget,Polo S,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,10000,Expensive,100
Ulysse Nardin,Marine,STAINLESS STEEL,Rubber,Automatic,Blue,Sapphire,Date,9500,Expensive,100
Vacheron Constantin,Overseas,STAINLESS STEEL,Stainless Steel,Automatic,Silver,Sapphire,Date,21500,Expensive,150
Jaquet Droz,Grande Seconde,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,,9800,Expensive,30
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,19900,Expensive,50
Blancpain,Fifty Fathoms,STAINLESS STEEL,Canvas,Automatic,Black,Sapphire,Date,14400,Expensive,300
Breguet,Type XXI,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Chronograph,9500,Expensive,100
Bulgari,Octo Finissimo,TITANIUM,Leather,Automatic,Black,Sapphire,,12800,Expensive,100
Chopard,Mille Miglia,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Chronograph,6500,Middle,50
Girard-Perregaux,Laureato,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,,7800,Middle,100
Glashütte Original,Senator,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,,9200,Expensive,50
Hublot,Classic Fusion,TITANIUM,Rubber,Automatic,Black,Sapphire,,6500,Middle,50
IWC,Portugieser,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,,8400,Expensive,30
Jaquet Droz,Grande Seconde,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,,6200,Middle,30
Longines,Master Collection,STAINLESS STEEL,Leather,Automatic,Blue,Sapphire,Date,1600,Cheap,30
Patek Philippe,Nautilus,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,29800,Expensive,120
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,24500,Expensive,50
IWC,Portugieser,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,,7950,Middle,30
Hublot,Classic Fusion,TITANIUM,Rubber,Automatic,Black,Sapphire,,8200,Expensive,50
Zenith,Chronomaster,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Chronograph,9400,Expensive,100
Girard-Perregaux,Laureato,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,,6700,Middle,100
Chopard,Mille Miglia,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Chronograph,6100,Middle,50
Vacheron Constantin,Overseas,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,16300,Expensive,150
Montblanc,1858,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,,3600,Cheap,100
Ulysse Nardin,Marine,STAINLESS STEEL,Rubber,Automatic,Black,Sapphire,Date,9500,Expensive,300
Rolex,Datejust,STAINLESS STEEL,Stainless Steel,Automatic,Silver,Sapphire,Date,8900,Expensive,100
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,17000,Expensive,50
Tudor,Black Bay,STAINLESS STEEL,Fabric,Automatic,Black,Sapphire,,4500,Cheap,200
IWC,Portugieser,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,"Chronograph, Date",8300,Expensive,30
Panerai,Luminor Marina,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,"Date, Second Time Zone",8900,Expensive,300
Blancpain,Fifty Fathoms,STAINLESS STEEL,Fabric,Automatic,Black,Sapphire,"Date, Unidirectional Bezel",12000,Expensive,300
Hublot,Classic Fusion,TITANIUM,Rubber,Automatic,Blue,Sapphire,Date,7500,Middle,50
Zenith,Chronomaster,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,"Chronograph, Date",6900,Middle,50
Vacheron Constantin,Overseas,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,"Date, Second Time Zone",15500,Expensive,50
Girard-Perregaux,Laureato,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,,11200,Expensive,100
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,"Date, Power Reserve Indicator",18900,Expensive,50
IWC,Pilot's Watch,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,"Date, Chronograph",5500,Middle,60
Panerai,Luminor,TITANIUM,Rubber,Automatic,Black,Sapphire,Date,9600,Expensive,300
Breguet,Type XX,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,"Date, Chronograph, Flyback",8800,Expensive,100
Blancpain,Fifty Fathoms,STAINLESS STEEL,Rubber,Automatic,Black,Sapphire,Date,14700,Expensive,300
Girard-Perregaux,Laureato,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,10600,Expensive,100
Vacheron Constantin,Overseas,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,Date,19200,Expensive,150
Zenith,El Primero,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Chronograph,7500,Middle,100
Chopard,Mille Miglia,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Chronograph,5600,Middle,50
Longines,HydroConquest,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,1400,Cheap,300
Tudor,Black Bay,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Date,3500,Cheap,200
Seiko,Prospex,STAINLESS STEEL,Silicone,Automatic,Blue,Hardlex,,650,Cheap,200
Hamilton,Khaki Field Auto,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,,545,Cheap,100
Omega,Speedmaster,STAINLESS STEEL,Stainless Steel,Manual,Black,Hesalite,"Chronograph, Tachymeter",5500,Middle,50
Breitling,Superocean Heritage,STAINLESS STEEL,Rubber,Automatic,Black,Sapphire,Date,4800,Cheap,200
Jaeger-LeCoultre,Master Control,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Date,6500,Middle,50
Cartier,Santos,STAINLESS STEEL,Stainless Steel,Automatic,Silver,Sapphire,Date,7500,Middle,100
Zenith,Elite,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,,4500,Cheap,50
Panerai,Luminor Base,STAINLESS STEEL,Leather,Manual,Black,Sapphire,,5800,Middle,100
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Silver,Sapphire,Date,21000,Expensive,50
IWC,Pilot's Watch,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Date,3800,Cheap,60
Tudor,Black Bay,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Date,3900,Cheap,200
Longines,Conquest VHP,STAINLESS STEEL,Stainless Steel,Quartz,Black,Sapphire,"Chronograph, Date",1500,Cheap,50
Sinn,U1,STAINLESS STEEL,Rubber,Automatic,Black,Sapphire,,2500,Cheap,1000
Vacheron Constantin,Overseas,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,"Date, Power Reserve",21000,Expensive,150
A. Lange & Söhne,Saxonia,WHITE GOLD,Leather,Manual,Silver,Sapphire,,23000,Expensive,30
Breguet,Classique,ROSE GOLD,Leather,Manual,Silver,Sapphire,Power Reserve,23000,Expensive,30
IWC,Portugieser,STAINLESS STEEL,Leather,Automatic,Blue,Sapphire,,8500,Expensive,30
Blancpain,Fifty Fathoms,STAINLESS STEEL,Fabric,Automatic,Black,Sapphire,Date,14000,Expensive,300
Hublot,Big Bang,TITANIUM,Rubber,Automatic,Blue,Sapphire,Chronograph,16000,Expensive,100
Panerai,Luminor Marina,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,,8500,Expensive,300
Zenith,El Primero,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Chronograph,6000,Middle,100
Piaget,Altiplano,WHITE GOLD,Leather,Manual,Silver,Sapphire,,16500,Expensive,30
Seiko,Prospex,STAINLESS STEEL,Silicone,Automatic,Blue,Sapphire,Day/Date,1200,Cheap,200
Panerai,Luminor Due,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,,6500,Middle,30
IWC,Portugieser,STAINLESS STEEL,Leather,Automatic,Blue,Sapphire,"Chronograph, Moon Phase",9800,Expensive,30
Blancpain,Fifty Fathoms,TITANIUM,Rubber,Automatic,Black,Sapphire,,16800,Expensive,300
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,Date,19800,Expensive,50
Breguet,Classique,18K ROSE GOLD,Leather,Automatic,White,Sapphire,,19000,Expensive,30
Vacheron Constantin,Patrimony,18K WHITE GOLD,Leather,Manual,Silver,Sapphire,,18500,Expensive,30
Chopard,Mille Miglia,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Chronograph,5800,Middle,50
Longines,Conquest,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,Chronograph,2200,Cheap,300
Montblanc,1858,STAINLESS STEEL,Leather,Manual,Black,Sapphire,,3500,Cheap,30
Rolex,GMT-Master II,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,"GMT, Date",9950,Expensive,100
Omega,Speedmaster,STAINLESS STEEL,Stainless Steel,Automatic,Black,Hesalite,Chronograph,4950,Cheap,50
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,22000,Expensive,50
IWC,Portugieser,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,,7500,Middle,30
Jaeger-LeCoultre,Master Ultra Thin,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Date,8900,Expensive,50
Blancpain,Fifty Fathoms,STAINLESS STEEL,Fabric,Automatic,Black,Sapphire,Date,13900,Expensive,300
Breguet,Classique,ROSE GOLD,Leather,Manual,Silver,Sapphire,,20500,Expensive,30
Ulysse Nardin,Marine,TITANIUM,Rubber,Automatic,Blue,Sapphire,Date,9500,Expensive,300
Hublot,Big Bang,CERAMIC,Rubber,Automatic,Black,Sapphire,Chronograph,16000,Expensive,100
Zenith,El Primero,STAINLESS STEEL,Leather,Automatic,White,Sapphire,Chronograph,5500,Middle,100
Rolex,Datejust,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,Date,8200,Expensive,100
Omega,Speedmaster Moonwatch,STAINLESS STEEL,Stainless Steel,Manual,Black,Hesalite,"Chronograph, Tachymeter",5500,Middle,50
Breitling,Superocean,STAINLESS STEEL,Rubber,Automatic,Blue,Sapphire,Date,3600,Cheap,500
Hublot,Big Bang,TITANIUM,Rubber,Automatic,Black,Sapphire,"Chronograph, Date",8900,Expensive,100
Blancpain,Fifty Fathoms,STAINLESS STEEL,Canvas,Automatic,Black,Sapphire,"Date, Rotating Bezel",13500,Expensive,300
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,26000,Expensive,50
Zenith,El Primero,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Chronograph,6500,Middle,100
IWC,Portugieser,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,,7800,Middle,30
Jaeger-LeCoultre,Master Ultra Thin,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,,4500,Cheap,50
Patek Philippe,Nautilus,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,29800,Expensive,120
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,Date,23100,Expensive,50
Vacheron Constantin,Overseas,STAINLESS STEEL,Rubber,Automatic,Blue,Sapphire,Date,18900,Expensive,150
Blancpain,Fifty Fathoms,STAINLESS STEEL,Canvas,Automatic,Black,Sapphire,Date,12800,Expensive,300
Hublot,Big Bang,CERAMIC,Rubber,Automatic,Black,Sapphire,Chronograph,17900,Expensive,100
Breguet,Classique,18K ROSE GOLD,Leather,Manual,Silver,Sapphire,,15200,Expensive,30
Ulysse Nardin,Marine,STAINLESS STEEL,Leather,Automatic,Blue,Sapphire,Date,8400,Expensive,100
Zenith,Defy,TITANIUM,Rubber,Automatic,Blue,Sapphire,Chronograph,9500,Expensive,100
Girard-Perregaux,Laureato,STAINLESS STEEL,Stainless Steel,Automatic,Silver,Sapphire,,9200,Expensive,100
Panerai,Luminor,STAINLESS STEEL,Leather,Manual,Black,Sapphire,,7500,Middle,100
Seiko,Prospex,STAINLESS STEEL,Silicone,Automatic,Blue,Hardlex,Date,1300,Cheap,200
Tissot,Le Locle,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Date,650,Cheap,30
Longines,Master Collection,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Date,2500,Cheap,30
Hamilton,Jazzmaster,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Date,1150,Cheap,50
Montblanc,Heritage,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Date,2750,Cheap,50
Rado,True Thinline,HIGH-TECH CERAMIC,Leather,Quartz,Black,Sapphire,,1600,Cheap,30
Frederique Constant,Classics,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Date,1400,Cheap,50
Zenith,Elite,STAINLESS STEEL,Leather,Automatic,White,Sapphire,Date,5500,Middle,50
Girard-Perregaux,Laureato,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,Date,8700,Expensive,100
Ulysse Nardin,Marine Torpilleur,STAINLESS STEEL,Leather,Automatic,Blue,Sapphire,Date,7900,Middle,50
Sinn,U50,GERMAN SUBMARINE STEEL,Silicone,Automatic,Black,Sapphire,,3350,Cheap,500
Omega,Speedmaster,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,Chronograph,6500,Middle,50
TAG Heuer,Aquaracer,STAINLESS STEEL,Stainless Steel,Quartz,Blue,Sapphire,,1800,Cheap,300
Breitling,Superocean,STAINLESS STEEL,Rubber,Automatic,Blue,Sapphire,Date,3600,Cheap,2000
IWC,Portugieser,STAINLESS STEEL,Leather,Automatic,Blue,Sapphire,Date,8900,Expensive,30
Panerai,Luminor Marina,TITANIUM,Leather,Manual,Black,Sapphire,,5700,Middle,300
Patek Philippe,Nautilus,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,34000,Expensive,120
Jaeger-LeCoultre,Master Ultra Thin,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,,6800,Middle,50
Bell & Ross,BR V2-92,STAINLESS STEEL,Rubber,Automatic,Black,Sapphire,Date,2500,Cheap,100
Montblanc,1858,BRONZE,Leather,Automatic,Black,Sapphire,,5300,Cheap,100
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,Date,22000,Expensive,50
Vacheron Constantin,Overseas,STAINLESS STEEL,Rubber,Automatic,Blue,Sapphire,Date,17500,Expensive,150
IWC,Portugieser,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Date,8500,Expensive,30
Hublot,Big Bang,CERAMIC,Rubber,Automatic,Black,Sapphire,Chronograph,15000,Expensive,100
Zenith,El Primero,STAINLESS STEEL,Leather,Automatic,White,Sapphire,Chronograph,6000,Middle,100
Chopard,Mille Miglia,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Chronograph,5000,Cheap,50
Panerai,Luminor,TITANIUM,Rubber,Automatic,Black,Sapphire,,8500,Expensive,300
Girard-Perregaux,Laureato,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,9000,Expensive,100
Blancpain,Fifty Fathoms,STAINLESS STEEL,NATO Strap,Automatic,Black,Sapphire,,12500,Expensive,300
Bulgari,Octo Finissimo,TITANIUM,Leather,Automatic,Black,Sapphire,,10000,Expensive,30
Tudor,Black Bay,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Date,3800,Cheap,200
Panerai,Luminor Marina,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Date,8900,Expensive,300
Hublot,Big Bang,TITANIUM,Rubber,Automatic,Black,Sapphire,Chronograph,16800,Expensive,100
IWC,Portugieser,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Date,6900,Middle,30
Vacheron Constantin,Overseas,STAINLESS STEEL,Rubber,Automatic,Silver,Sapphire,Date,19500,Expensive,150
Breguet,Classique,18K WHITE GOLD,Leather,Automatic,Silver,Sapphire,Date,24500,Expensive,30
Piaget,Altiplano,18K ROSE GOLD,Leather,Manual,White,Sapphire,,20800,Expensive,30
Blancpain,Fifty Fathoms,STAINLESS STEEL,Fabric,Automatic,Black,Sapphire,Date,13000,Expensive,300
Girard-Perregaux,Laureato,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,Date,9700,Expensive,100
Zenith,Chronomaster,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Chronograph,7400,Middle,50
Breitling,Superocean Heritage II,STAINLESS STEEL,Rubber,Automatic,Black,Sapphire,Date,4300,Cheap,200
Cartier,Santos de Cartier,STAINLESS STEEL,Stainless Steel,Automatic,Silver,Sapphire,Date,6500,Middle,100
Omega,Speedmaster,STAINLESS STEEL,Leather,Manual,Black,Hesalite,Chronograph,5500,Middle,50
Rolex,GMT-Master II,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,"GMT, Date",9100,Expensive,100
Jaeger-LeCoultre,Master Control,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Date,7500,Middle,50
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,20900,Expensive,50
IWC,Pilot's Watch Mark XVIII,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Date,4200,Cheap,60
Patek Philippe,Calatrava,18K WHITE GOLD,Leather,Automatic,Silver,Sapphire,Date,22000,Expensive,30
Tudor,Black Bay,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Date,3600,Cheap,200
Omega,Speedmaster,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,Chronograph,6800,Middle,50
TAG Heuer,Aquaracer,STAINLESS STEEL,Stainless Steel,Quartz,Blue,Sapphire,Date,2600,Cheap,300
Breitling,Superocean Heritage,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Date,4400,Cheap,200
Jaeger-LeCoultre,Master Control,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Date,7500,Middle,50
Tudor,Black Bay GMT,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,GMT,4500,Cheap,200
Zenith,El Primero,STAINLESS STEEL,Leather,Automatic,White,Sapphire,Chronograph,6900,Middle,100
Longines,HydroConquest,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,Date,1800,Cheap,300
Oris,Divers Sixty-Five,STAINLESS STEEL,Leather,Automatic,Blue,Sapphire,Date,1500,Cheap,100
Hamilton,Khaki Field,STAINLESS STEEL,NATO Strap,Automatic,Black,Sapphire,,595,Cheap,100
Panerai,Luminor Marina,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Date,7500,Middle,300
IWC,Pilot's Watch,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Date,5400,Cheap,60
Patek Philippe,Calatrava,WHITE GOLD,Leather,Manual,White,Sapphire,,25000,Expensive,30
Hublot,Big Bang,CARBON FIBER,Rubber,Automatic,Black,Sapphire,Chronograph,15000,Expensive,100
Zenith,Chronomaster,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Chronograph,7500,Middle,50
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,25000,Expensive,50
Vacheron Constantin,Overseas,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,18000,Expensive,50
Breguet,Classique,WHITE GOLD,Leather,Automatic,Silver,Sapphire,,20000,Expensive,30
Ulysse Nardin,Marine,STAINLESS STEEL,Rubber,Automatic,Blue,Sapphire,Date,8500,Expensive,100
Blancpain,Fifty Fathoms,STAINLESS STEEL,Canvas,Automatic,Black,Sapphire,,10500,Expensive,300
Girard-Perregaux,Laureato,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,Date,9000,Expensive,100
Blancpain,Fifty Fathoms,TITANIUM,Fabric,Automatic,Black,Sapphire,Date,14500,Expensive,300
Vacheron Constantin,Overseas,STAINLESS STEEL,Stainless Steel,Automatic,Silver,Sapphire,Date,21500,Expensive,150
Zenith,El Primero,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Chronograph,7500,Middle,100
Hublot,Big Bang,TITANIUM,Rubber,Automatic,Black,Sapphire,Chronograph,15000,Expensive,100
Breguet,Classique,18K ROSE GOLD,Leather,Automatic,Silver,Sapphire,,18000,Expensive,30
Girard-Perregaux,Laureato,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,11500,Expensive,100
Panerai,Luminor Marina,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Date,8000,Middle,300
Tudor,Black Bay,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,,3800,Cheap,200
Panerai,Luminor,STAINLESS STEEL,Leather,Manual,Black,Sapphire,,6400,Middle,100
IWC,Portugieser,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Date,8900,Expensive,30
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,20400,Expensive,50
Vacheron Constantin,Overseas,STAINLESS STEEL,Rubber,Automatic,Blue,Sapphire,Date,22000,Expensive,150
Blancpain,Fifty Fathoms,STAINLESS STEEL,Canvas,Automatic,Black,Sapphire,Date,14900,Expensive,300
Chopard,Mille Miglia,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Chronograph,5900,Middle,50
Longines,Master Collection,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Date,1500,Cheap,30
Montblanc,Heritage,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Date,2700,Cheap,50
Zenith,El Primero,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Chronograph,6500,Middle,100
Rolex,Datejust,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,7800,Middle,100
Omega,Speedmaster,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,"Chronograph, Date",5300,Cheap,50
TAG Heuer,Monaco,STAINLESS STEEL,Leather,Automatic,Blue,Sapphire,Chronograph,5900,Middle,100
Breitling,Superocean,STAINLESS STEEL,Rubber,Automatic,Blue,Sapphire,Date,3800,Cheap,1000
Cartier,Ballon Bleu,STAINLESS STEEL,Stainless Steel,Automatic,Silver,Sapphire,Date,7500,Middle,30
Jaeger-LeCoultre,Master Ultra Thin,STAINLESS STEEL,Leather,Automatic,White,Sapphire,Date,6200,Middle,50
Rolex,GMT-Master II,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,"GMT, Date",9500,Expensive,100
Omega,Aqua Terra,STAINLESS STEEL,Stainless Steel,Automatic,Silver,Sapphire,Date,4700,Cheap,150
TAG Heuer,Aquaracer,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,Date,2700,Cheap,300
Breitling,Avenger II,STAINLESS STEEL,Rubber,Automatic,Black,Sapphire,"Chronograph, Date",4600,Cheap,300
Omega,Speedmaster,STAINLESS STEEL,Stainless Steel,Manual,Black,Sapphire,Chronograph,5400,Cheap,50
TAG Heuer,Monaco,STAINLESS STEEL,Leather,Automatic,Blue,Sapphire,Chronograph,6550,Middle,100
Cartier,Santos-Dumont,STAINLESS STEEL,Leather,Quartz,Silver,Sapphire,,5300,Cheap,30
Breitling,Superocean,STAINLESS STEEL,Rubber,Automatic,Blue,Sapphire,Date,3850,Cheap,1000
Patek Philippe,Calatrava,WHITE GOLD,Leather,Automatic,Silver,Sapphire,,25800,Expensive,30
Tudor,Black Bay,STAINLESS STEEL,Fabric,Automatic,Black,Sapphire,Date,4100,Cheap,200
Blancpain,Fifty Fathoms,STAINLESS STEEL,Rubber,Automatic,Black,Sapphire,Date,12900,Expensive,300
IWC,Portugieser,STAINLESS STEEL,Leather,Automatic,Blue,Sapphire,,6900,Middle,30
